variable_name,variable_label,variable_type,allowed_values,anonymization_or_synthesis_note
category_id,Analytical category identifier,string,lowercase identifier,Non-identifying analytical label
category_label,Analytical category label,string,text,Generalized thematic label
category_description,Description of the analytical category,string,text,Conceptual description without direct participant identifiers
generation_z_intensity,Intensity of mentions among Generation Z,categorical,High; Medium; Low,Aggregate intensity level reconstructed from the reported thematic matrix
millennials_intensity,Intensity of mentions among Millennials,categorical,High; Medium; Low,Aggregate intensity level reconstructed from the reported thematic matrix
generation_x_intensity,Intensity of mentions among Generation X,categorical,High; Medium; Low,Aggregate intensity level reconstructed from the reported thematic matrix
interpretative_dimension,Higher-order interpretative dimension,string,text,Analytical abstraction derived from IPA interpretation
relational_or_cognitive_mechanism,Relational or cognitive mechanism,string,text,Conceptual mechanism linking empirical categories to meaning construction
theoretical_linkage,Theoretical linkage,string,text,Conceptual linkage without turning the matrix into a literature review table
participant_id,Synthetic participant identifier,string,P001-P024,Generated identifier used only in the synthetic example file
generational_cohort,Synthetic generational cohort,categorical,Generation Z; Millennials; Generation X,Illustrative cohort assignment only
gender_group,Synthetic gender group,categorical,Woman; Man,Illustrative broad demographic category only
expectations_profile,Synthetic expectations profile,categorical,Balanced-positive; Cautious; Uncertain,Illustrative synthetic profile not derived from raw participant data
relational_support_level,Synthetic relational support level,categorical,High; Medium; Low,Illustrative ordinal variable
role_clarity_level,Synthetic role clarity level,categorical,High; Medium; Low,Illustrative ordinal variable
integration_outcome,Synthetic integration outcome,categorical,Meaningful integration; Conditional integration; Strained integration,Illustrative interpretative outcome
data_origin,Data provenance,string,synthetic_example,Clarifies that the row belongs to a synthetic illustrative file
